RowID;Date/Time;Cogeneration (kWh);Wind (kWh);Photovoltaics (kWh);Hydro (kWh);Other Technologies (kWh);Distribution Network (kWh);temperature_2m (°C);relative_humidity_2m (%);precipitation (mm);rain (mm);snowfall (cm);cloud_cover (%);Wind_Direction_10m;wind_speed_10m (km/h);Wind_Direction_100m;wind_speed_100m (km/h);direct_radiation (W/m²);shortwave_radiation (W/m²);diffuse_radiation (W/m²);direct_normal_irradiance (W/m²);terrestrial_radiation (W/m²);Productions
0;2024-11-14 22:00:00;63376.25;763017.6875;0.0;;42022.55575;882741.18075;14.7;72.0;0.4;0.4;0.0;100.0;Southwest;5.7;Southwest;18.3;0.0;0.0;0.0;0.0;0.0;Medium-High Production
1;2024-05-25 07:00:00;43341.9375;149087.125;9364.9375;17797.6875;;319356.969037;11.9;90.0;;;0.0;86.0;Northwest;4.3;Northwest;5.1;10.0;71.0;61.0;42.4;;Medium-Low Production
2;2024-10-04 06:00:00;64667.5;42175.625;0.75;4507.9375;44345.5045;155697.31699999998;17.0;98.0;;;0.0;;Northwest;2.3;Northwest;2.8;0.0;0.0;0.0;0.0;0.0;Medium-Low Production
3;2024-06-17 13:00:00;63737.125;310103.8125;30029.1875;15845.4375;115613.375;535328.9375;18.6;77.0;;;0.0;100.0;South;17.8;South;25.6;12.0;219.0;nan;12.7;1256.6;Low Production
4;2024-12-13 15:00:00;74844.5625;53312.3125;13814.75;21773.875;59328.65825;;12.9;;;;0.0;72.0;Southwest;6.2;Southwest;8.5;195.0;284.0;89.0;589.8;;Medium-Low Production
5;2024-02-15 02:00:00;21704.9375;1027865.875;0.0625;41661.0;81363.75725000002;1172595.63225;16.2;76.0;;;0.0;;Southeast;;South;35.9;0.0;0.0;0.0;0.0;0.0;Medium Production
6;2024-10-11 09:00:00;57750.9375;987554.0;7153.3125;31915.9375;47390.32675000001;1131764.51425;;76.0;1.1;1.1;0.0;100.0;East;21.9;East;37.4;7.0;50.0;43.0;22.4;430.0;Medium Production
7;2024-10-14 01:00:00;50679.25;;0.0;22244.8125;40783.68499999998;274142.8725;16.6;93.0;;;;0.0;Northwest;6.0;;13.4;0.0;0.0;0.0;0.0;0.0;Medium-Low Production
8;2024-02-25 12:00:00;19877.9375;1146658.0625;16535.1875;48371.875;109606.78375;1341049.84625;13.8;92.0;0.8;0.8;0.0;100.0;Northwest;;Northwest;46.1;2.0;135.0;133.0;3.4;824.4;Medium Production
9;2024-01-07 16:00:00;7384.9375;2930.3125;10672.125;;87678.75;149847.6875;11.8;75.0;;;;0.0;Southwest;;Southwest;5.2;177.0;;52.0;689.6;363.1;Medium-Low Production
10;2024-02-27 23:00:00;37244.9375;734931.6875;nan;52868.3125;89291.43099999998;914336.681;6.1;;;;0.0;57.0;Southeast;10.0;Southeast;24.2;0.0;0.0;0.0;0.0;0.0;Medium-High Production
11;2024-07-29 02:00:00;36934.875;133500.0;0.0;3584.875;78179.5275;252199.2775;21.6;87.0;;;0.0;74.0;Southwest;;;6.8;0.0;0.0;0.0;0.0;0.0;Medium-Low Production
12;2024-03-22 07:00:00;35070.1875;654262.375;664.9375;47542.0;76836.75;814376.25;12.4;80.0;;;0.0;0.0;Northwest;7.3;Northwest;;2.0;6.0;4.0;;40.6;Medium-High Production
13;2024-01-05 17:00:00;23500.875;658106.0625;660.3125;42528.5;86072.0;;8.2;84.0;;;0.0;45.0;Southwest;8.2;Southwest;17.0;;61.0;31.0;228.5;160.1;Medium-High Production
14;2024-08-02 03:00:00;42251.0625;580897.4375;0.0;3788.8125;74296.45374999999;701233.76625;16.5;98.0;;;0.0;;Northwest;3.2;Northwest;5.2;0.0;;0.0;0.0;;Low Production
15;2024-11-05 20:00:00;72162.0;207064.4375;0.0;24514.25;46261.754;350002.4415;17.3;92.0;0.2;0.2;0.0;100.0;;8.6;West;19.0;0.0;0.0;0.0;0.0;0.0;Medium-High Production
16;2024-11-24 20:00:00;65595.375;1160597.1875;0.0;19432.3125;35421.35800000001;1281046.233;16.1;93.0;3.7;;0.0;100.0;Northeast;30.6;Northeast;52.0;;0.0;nan;0.0;0.0;Medium Production
17;2024-03-24 01:00:00;nan;717300.0625;nan;45889.125;84587.9375;867829.0625;;59.0;;;0.0;;Northwest;11.6;Northwest;29.2;0.0;0.0;0.0;0.0;0.0;Medium-Low Production
18;2024-04-03 18:00:00;39540.0;268810.0;2627.5625;;75947.75;441846.3125;14.8;82.0;;;0.0;99.0;West;15.9;West;24.8;68.0;171.0;103.0;243.6;382.1;High Production
19;2024-01-02 17:00:00;12921.9375;996821.8125;185.8125;34432.125;86120.375;1130482.0625;14.9;95.0;3.3;3.3;0.0;100.0;Southeast;;Southeast;38.0;0.0;4.0;nan;0.0;149.2;Medium Production
